timestamp,open,high,low,close,volume
2025-01-23 19:59:00,223.21,223.24,223.2,223.22,1577
2025-01-23 19:58:00,223.25,223.25,223.2,223.21,2706
2025-01-23 19:57:00,223.2006,223.25,223.2006,223.24,391
2025-01-23 19:56:00,223.25,223.25,223.2,223.2001,1237
2025-01-23 19:55:00,223.23,223.25,223.21,223.2492,677
2025-01-23 19:54:00,223.27,223.275,223.2,223.23,2646
2025-01-23 19:53:00,223.225,223.2522,223.2,223.2522,857
2025-01-23 19:52:00,223.21,223.22,223.2,223.2,502
2025-01-23 19:51:00,223.22,223.22,223.2,223.2,1981
2025-01-23 19:50:00,223.2201,223.3,223.21,223.21,426
2025-01-23 19:49:00,223.2,223.25,223.2,223.2207,1317
2025-01-23 19:48:00,223.24,223.2499,223.2033,223.23,139
2025-01-23 19:47:00,223.24,223.25,223.22,223.225,478
2025-01-23 19:46:00,223.25,223.25,223.2,223.2052,264
2025-01-23 19:45:00,223.2,223.25,223.2,223.24,384
2025-01-23 19:44:00,223.18,223.2495,223.18,223.2,371
2025-01-23 19:43:00,223.2,223.25,223.15,223.25,767
2025-01-23 19:42:00,223.19,223.2,223.15,223.15,244
2025-01-23 19:41:00,223.175,223.2,223.15,223.18,249
2025-01-23 19:40:00,223.19,223.2,223.15,223.175,427
2025-01-23 19:39:00,223.185,223.2,223.1512,223.18,912
2025-01-23 19:38:00,223.19,223.2,223.185,223.2,733
2025-01-23 19:37:00,223.18,223.19,223.15,223.19,242
2025-01-23 19:36:00,223.2,223.2,223.15,223.15,1074
2025-01-23 19:35:00,223.19,223.2,223.18,223.185,607
2025-01-23 19:34:00,223.18,223.2,223.18,223.1801,201
2025-01-23 19:33:00,223.19,223.2,223.18,223.19,35
2025-01-23 19:32:00,223.2,223.26,223.17,223.19,1730
2025-01-23 19:31:00,223.29,223.2996,223.212,223.29,295
2025-01-23 19:30:00,223.29,223.3,223.25,223.255,33
2025-01-23 19:29:00,223.25,223.3,223.2,223.252,466
2025-01-23 19:28:00,223.2,223.32,223.2,223.26,76
2025-01-23 19:27:00,223.26,223.26,223.235,223.2588,108
2025-01-23 19:26:00,223.26,223.3172,223.21,223.26,99
2025-01-23 19:25:00,223.26,223.32,223.2127,223.265,38
2025-01-23 19:24:00,223.265,223.265,223.21,223.21,28
2025-01-23 19:23:00,223.32,223.32,223.26,223.265,30
2025-01-23 19:22:00,223.295,223.32,223.27,223.2701,526
2025-01-23 19:21:00,223.29,223.32,223.26,223.295,194
2025-01-23 19:20:00,223.33,223.34,223.26,223.29,510
2025-01-23 19:19:00,223.32,223.34,223.26,223.3,117
2025-01-23 19:18:00,223.27,223.34,223.27,223.3371,394
2025-01-23 19:17:00,223.26,223.34,223.26,223.3,173
2025-01-23 19:16:00,223.3,223.34,223.26,223.3,94
2025-01-23 19:15:00,223.265,223.34,223.26,223.3,474
2025-01-23 19:14:00,223.27,223.27,223.26,223.27,74
2025-01-23 19:13:00,223.26,223.27,223.26,223.27,18
2025-01-23 19:12:00,223.26,223.27,223.21,223.26,401
2025-01-23 19:11:00,223.28,223.3,223.21,223.27,139
2025-01-23 19:10:00,223.3,223.34,223.3,223.3,589
